trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,4,-137.9126430117625,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-73.78305188632812,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-130.27973854584576,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,6,-63.15162015401391,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-226.6580410219882,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-140.742322763311,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-156.3625979380032,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-207.79670785957836,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-83.71134653526339,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,5,-85.03429630266513,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-106.72199170414028,"{0: 27, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-26.398880051480088,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-33.69876864372936,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,21.973299543774207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,8,-18.164235982756733,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-40.03803005719747,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-8.470601358782202,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,-45.93446588986005,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,25.951003380731503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-103.29501740560528,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,7,-76.51764167453656,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",35,18,24.123653143535684,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,15.930088767506694,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-72.77100163676613,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,6,-76.85049511326662,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,0,-12.896010792822649,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,3,-15.225943700693898,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-115.65616807565223,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,6,0.9104382754046176,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,1,17.91018533280789,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
