trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-103.58992273960523,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.98}",25,0,-189.3239576598308,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.9603999999999999}",20,0,-34.40004632109698,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.9411919999999999}",25,0,-191.05276375249707,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.75, 'e': 0.9223681599999999}",20,0,-154.13158099881468,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.9039207967999999}",20,0,-90.60523642188373,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.8858423808639999}",25,0,-122.67258364947226,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.8681255332467199}",20,0,-49.082179286817116,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.8507630225817855}",25,0,-99.3396389027983,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.8337477621301498}",35,0,-310.1551915956382,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 5}",0
11,False,"{'a': 0.75, 'e': 0.8170728068875467}",20,10,-21.001487684888144,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.75, 'e': 0.8007313507497958}",20,15,-32.09331268973342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.75, 'e': 0.7847167237347998}",30,0,-79.7457309998013,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.7690223892601038}",30,0,-125.49008636834823,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.7536419414749017}",20,0,-119.45142045266375,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.7385691026454038}",20,13,-7.850605121620109,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.7237977205924956}",20,0,-135.3588531991513,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.7093217661806457}",20,0,-56.72350691237305,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.6951353308570327}",25,0,-43.139458379912085,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.6812326242398921}",20,8,-78.31130580565613,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
21,False,"{'a': 0.75, 'e': 0.6676079717550942}",20,0,-26.13340307730158,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.6542558123199923}",20,0,-102.59567930426559,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.6411706960735924}",20,0,-40.58436013716528,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.6283472821521207}",20,3,-197.99556917918682,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 4}",1
25,False,"{'a': 0.75, 'e': 0.6157803365090783}",25,0,-129.11005521859784,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",1
26,False,"{'a': 0.75, 'e': 0.6034647297788966}",30,0,-118.89196152339494,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
