trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.86959576489474,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.06200660065448,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.08964993385896,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-213.29026628866848,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,8,-51.68917227950594,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.09354678102186,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.93626398636508,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.72698808294963,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.41650114454853,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.98813328559564,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.40916235237018,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,9,-18.648493911874603,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.49065602238152,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.41469080927018,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.4600484907456,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.42927174469153,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.31358035868897,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.22889452692849,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.89747668655558,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.06437824947751,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-226.5731770947204,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.87866936622514,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.63475506969601,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.91067713198046,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.8267230257585,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.61064951512796,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.67451619535694,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-125.9163133852584,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.25742072296104,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.78196449388051,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
